Codigo_Item,Descripcion_Item
00100,ANESTESIA PARA PROCEDIMIENTOS EN GLÁNDULAS SALIVALES, INCLUYENDO BIOPSIA
00102,ANESTESIA PARA PROCEDIMIENTOS DE CORRECCIÓN PLÁSTICA DE LABIO HENDIDO
00103,ANESTESIA PARA PROCEDIMIENTOS RECONSTRUCTIVOS DEL PÁRPADO (P. EJ. BLEFAROPLASTIA, CIRUGÍA DE PTOSIS)
00104,ANESTESIA PARA TERAPIA ELECTRO CONVULSIVA
00106,ANESTESIA EN EL SERVICIO DE RADIOLOGÍA PARA PROCEDIMIENTOS INVASIVOS
00108,EVALUACIÓN PRE ANESTÉSICA A PACIENTE HOSPITALIZADO
00120,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA, NO ESPECIFICADOS DE OTRA FORMA"
00124,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA, OTOSCOPÍA"
00126,"ANESTESIA PARA PROCEDIMIENTOS EN EL OÍDO EXTERNO, MEDIO E INTERNO, INCLUYENDO BIOPSIA, TIMPANOTOMÍA"
00140,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, NO ESPECIFICADOS DE OTRA FORMA"
00141,ANESTESIA PARA PROCEDIMIENTOS EXTRA OCULARES
00142,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, CIRUGÍA DEL CRISTALINO"
00144,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, TRASPLANTE DE CÓRNEA"
00145,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, CIRUGÍA DE VÍTREO Y RETINA"
00147,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, IRIDECTOMÍA"
00148,"ANESTESIA PARA PROCEDIMIENTOS EN EL OJO, OFTALMOSCOPÍA"
00160,ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES NO ESPECIFICADOS DE OTRA FORMA
00162,"ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES, CIRUGÍA RADICAL"
00164,"ANESTESIA PARA PROCEDIMIENTOS EN LA NARIZ Y SENOS PARANASALES, BIOPSIA, TEJIDO BLANDO"
00170,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA, NO ESPECIFICADOS DE OTRA FORMA"
00172,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA, CORRECCIÓN DE PALADAR HENDIDO"
00174,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA, ESCISIÓN DE TUMOR RETROFARÍNGEO"
00176,"ANESTESIA PARA PROCEDIMIENTOS INTRAORALES, INCLUYENDO BIOPSIA, CIRUGÍA RADICAL"
00190,"ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES, NO ESPECIFICADOS DE OTRA FORMA"
00192,"ANESTESIA PARA PROCEDIMIENTOS EN HUESOS FACIALES, CIRUGÍA RADICAL (INCLUYENDO PROGNATISMO)"
00210,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, NO ESPECIFICADOS DE OTRA FORMA"
00211,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, CRANIOTOMÍA O CRANIECTOMÍA PARA LA EVACUACIÓN DE HEMATOMA"
00212,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, PUNCIONES EVACUADORAS SUBDURALES"
00214,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, AGUJEROS DE TREPANACIÓN"
00215,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, ELEVACIÓN DE FRACTURA DE CRÁNEO DEPRIMIDA, EXTRADURAL (SIMPLE O COMPUESTA)"
00216,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, PROCEDIMIENTOS VASCULARES"
00218,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, PROCEDIMIENTOS EN POSICIÓN DE SENTADO"
00220,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, PROCEDIMIENTOS DE DERIVACIÓN DE LÍQUIDO RAQUÍDEO"
00222,"ANESTESIA PARA PROCEDIMIENTOS INTRACRANEALES, ELECTROCOAGULACIÓN DEL NERVIO INTRACRANEAL"
00300,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO, MÚSCULOS Y NERVIOS DE LA CABEZA, CUELLO Y TRONCO POSTERIOR, NO ESPECIFICADO DE OTRA MANERA
00320,"ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO, TIROIDES, LARINGE, TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO, NO ESPECIFICADOS DE OTRA FORMA, EDAD 1 AÑO O MAYOR"
00322,"ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO, TIROIDES, LARINGE, TRÁQUEA Y SISTEMA LINFÁTICO DEL CUELLO, BIOPSIA CON AGUJA, DE TIROIDES"
00326,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN LA LARINGE Y LA TRÁQUEA EN NIÑOS MENORES DE 1 AÑO DE EDAD
00350,"ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO, NO ESPECIFICADOS DE OTRA FORMA"
00352,"ANESTESIA PARA PROCEDIMIENTOS EN VASOS MAYORES DEL CUELLO, LIGADURA SIMPLE"
00400,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO, NO ESPECIFICADOS DE OTRA FORMA"
00402,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO, PROCEDIMIENTOS RECONSTRUCTIVOS DE MAMA (P. EJ. MAMOPLASTÍA DE REDUCCIÓN O AUMENTO, COLGAJOS MUSCULARES)"
00404,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO, PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMAS"
00406,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO, PROCEDIMIENTOS RADICALES O MODIFICADOS EN LAS MAMÁS CON DISECCIÓN DE GANGLIO MAMARIO INTERNO"
00410,"ANESTESIA PARA PROCEDIMIENTOS EN EL SISTEMA TEGUMENTARIO ANTERIOR DE LAS EXTREMIDADES, TÓRAX ANTERIOR Y PERINEO, CONVERSIÓN ELÉCTRICA DE ARRITMIAS"
00450,"ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA, NO ESPECIFICADOS DE OTRA FORMA"
00452,"ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA, CIRUGÍA RADICAL"
00454,"ANESTESIA PARA PROCEDIMIENTOS EN LA CLAVÍCULA Y ESCÁPULA, BIOPSIA DE CLAVÍCULA"
00470,"ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA, NO ESPECIFICADOS DE OTRA FORMA"
00472,"ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA, TORACOPLASTÍA (CUALQUIER TIPO)"
00474,"ANESTESIA PARA RESECCIÓN PARCIAL DE COSTILLA, PROCEDIMIENTOS RADICALES (P. EJ. PECHO EXCAVADO, ""EN EMBUDO"")"
00500,ANESTESIA PARA TODOS LOS PROCEDIMIENTOS EN EL ESÓFAGO
00520,"ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA), NO ESPECIFICADOS DE OTRA FORMA"
00522,"ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA), BIOPSIA CON AGUJA DE PLEURA"
00524,"ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX (INCLUYENDO BRONCOSCOPÍA), NEUMOCENTESIS"
00528,"ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX, MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA SIN USO DE UN PULMÓN DE VENTILACIÓN"
00529,"ANESTESIA PARA PROCEDIMIENTOS A CIELO CERRADO DEL TÓRAX, MEDIASTINOSCOPÍA Y TORACOSCOPÍA DIAGNÓSTICA CON USO DE UN PULMÓN DE VENTILACIÓN"
00530,ANESTESIA PARA INSERCIÓN TRANSVENOSA DE MARCAPASOS
00532,ANESTESIA PARA ACCESO A CIRCULACIÓN VENOSA CENTRAL
00534,ANESTESIA PARA INSERCIÓN TRANSVENOSA O REEMPLAZO DE CARDIOVERSOR/DESFIBRILADOR
00537,ANESTESIA PARA PROCEDIMIENTOS ELECTROFISIOLÓGICOS CARDÍACOS INCLUYENDO ABLACIÓN POR RADIOFRECUENCIA
00539,ANESTESIA PARA RECONSTRUCCIÓN TRAQUEOBRONQUIAL
00540,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA), NO ESPECIFICADOS DE OTRA FORMA"
00541,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INCLUYEN PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA), UTILIZANDO VENTILACIÓN DE UN PULMÓN"
00542,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA), DECORTICACIÓN"
00546,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA), RESECCIÓN PULMONAR CON TORACOPLASTIA"
00548,"ANESTESIA PARA PROCEDIMIENTOS DE TORACOTOMÍA QUE INVOLUCRAN A LOS PULMONES, PLEURA, DIAFRAGMA Y MEDIASTINO (INCLUYENDO TORACOSCOPÍA QUIRÚRGICA), PROCEDIMIENTOS INTRATORÁCICOS EN LA TRÁQUEA Y BRONQUIOS"
00550,ANESTESIA PARA DEBRIDACIÓN ESTERNAL
